OpportunityID,Name,AccountID,LeadID,Stage,Probability,EstimatedValue,ExpectedCloseDate,ActualCloseDate,Status,Description,OwnerID,CreatedOn,ModifiedOn
OPP-045,Customer Behavior Analysis,ACC-004,LEAD-017,Follow Up,60,16997,2025-06-05,2025-01-05,Cancelled,"Develop analytics solutions to understand customer behavior, segmentation, and purchasing patterns.",USER-005,2024-12-15,2025-01-05
OPP-046,Customer Behavior Analysis,ACC-002,LEAD-018,Follow Up,60,36947,2025-05-05,2025-03-02,Cancelled,"Develop analytics solutions to understand customer behavior, segmentation, and purchasing patterns.",USER-015,2025-02-27,2025-03-02
OPP-047,Sales Performance Optimization,ACC-001,LEAD-018,Discovery,30,25015,2025-05-26,,In Progress,"Implement analytics to optimize sales processes, identify top performers, and improve revenue generation.",USER-015,2025-03-06,2025-03-28
OPP-048,Marketing Campaign Effectiveness,ACC-001,LEAD-018,Discovery,60,46908,2025-04-16,2025-03-30,Cancelled,"Analyze marketing campaign data to measure effectiveness, ROI, and optimize future campaigns.",USER-015,2025-03-12,2025-03-30
OPP-049,Supply Chain Optimization,ACC-002,LEAD-018,Connected,90,15448,2025-06-23,,In Progress,"Apply analytics to optimize inventory management, logistics, and supply chain efficiency.",USER-015,2025-03-19,2025-04-09
OPP-050,Financial Forecasting,ACC-003,LEAD-018,Connected,60,45326,2025-10-01,2025-04-16,Won,"Build predictive models for financial forecasting, budgeting, and financial risk assessment.",USER-015,2025-03-19,2025-04-16
OPP-051,Operational Efficiency Improvement,ACC-002,LEAD-018,Discovery,60,33594,2025-08-03,,In Progress,"Develop analytics to identify bottlenecks, improve process efficiency, and reduce operational costs.",USER-015,2025-03-20,2025-03-22
OPP-052,Risk Management Analytics,ACC-001,LEAD-018,Discovery,60,17277,2026-02-07,2025-04-17,Cancelled,"Implement analytics for risk assessment, fraud detection, and compliance monitoring.",USER-015,2025-03-21,2025-04-17
OPP-053,Predictive Maintenance,ACC-003,LEAD-018,Discovery,60,22359,2025-08-07,2025-03-30,Won,Utilize predictive analytics to forecast equipment failures and optimize maintenance schedules.,USER-015,2025-03-29,2025-03-30
OPP-054,Customer Behavior Analysis,ACC-001,LEAD-019,Connected,90,10052,2025-04-09,,In Progress,"Develop analytics solutions to understand customer behavior, segmentation, and purchasing patterns.",USER-001,2024-12-19,2025-01-08
OPP-055,Sales Performance Optimization,ACC-003,LEAD-019,Discovery,60,46769,2025-08-29,,In Progress,"Implement analytics to optimize sales processes, identify top performers, and improve revenue generation.",USER-001,2024-12-28,2025-01-25
OPP-056,Marketing Campaign Effectiveness,ACC-004,LEAD-019,Follow Up,60,33368,2025-04-14,,In Progress,"Analyze marketing campaign data to measure effectiveness, ROI, and optimize future campaigns.",USER-001,2025-01-03,2025-01-16
OPP-057,Supply Chain Optimization,ACC-004,LEAD-019,Connected,30,54519,2025-05-24,2025-01-07,Cancelled,"Apply analytics to optimize inventory management, logistics, and supply chain efficiency.",USER-001,2025-01-04,2025-01-07
OPP-058,Financial Forecasting,ACC-001,LEAD-019,Connected,60,45738,2025-07-03,2025-01-15,Won,"Build predictive models for financial forecasting, budgeting, and financial risk assessment.",USER-001,2025-01-06,2025-01-15
OPP-059,Operational Efficiency Improvement,ACC-001,LEAD-019,Follow Up,60,25603,2025-04-08,,In Progress,"Develop analytics to identify bottlenecks, improve process efficiency, and reduce operational costs.",USER-001,2025-01-07,2025-01-08
OPP-060,Risk Management Analytics,ACC-001,LEAD-019,Discovery,60,58516,2025-04-07,2025-01-17,Won,"Implement analytics for risk assessment, fraud detection, and compliance monitoring.",USER-001,2025-01-11,2025-01-17
OPP-061,Customer Experience Enhancement,ACC-002,LEAD-020,Discovery,60,49646,2026-02-13,2025-02-27,Cancelled,Implement digital solutions to enhance customer experience across all touchpoints.,USER-008,2025-02-15,2025-02-27
OPP-062,Business Process Automation,ACC-002,LEAD-020,Follow Up,60,54207,2026-02-13,2025-03-17,Won,Automate manual business processes using digital technologies to improve efficiency and reduce costs.,USER-008,2025-02-23,2025-03-17
OPP-063,Cloud Adoption Strategy,ACC-002,LEAD-020,Discovery,30,23937,2025-06-28,2025-02-26,Won,Develop and execute a cloud adoption strategy to leverage cloud services for scalability and agility.,USER-008,2025-02-25,2025-02-26
OPP-064,Phishing Simulation,ACC-003,LEAD-022,Discovery,60,46581,2025-02-03,2025-01-25,Cancelled,Conduct simulated phishing campaigns to educate employees on recognizing and avoiding phishing attacks.,USER-017,2024-12-27,2025-01-25
OPP-065,Ransomware Prevention,ACC-001,LEAD-022,Connected,60,18945,2025-10-16,2025-01-09,Won,"Train employees on how to prevent ransomware attacks, including recognizing malicious emails and downloads.",USER-017,2024-12-31,2025-01-09
OPP-066,Password Security,ACC-002,LEAD-022,Follow Up,60,8023,2025-04-07,,In Progress,"Educate employees on creating strong passwords, using password managers, and avoiding password reuse.",USER-017,2025-01-03,2025-01-14
OPP-067,ERP Implementation - TechCorp,ACC-002,LEAD-023,Discovery,60,49341,2025-09-28,,In Progress,"Comprehensive ERP system implementation for TechCorp, including requirements gathering, configuration, data migration, testing, and user training.",USER-005,2025-02-08,2025-02-11
OPP-068,Cloud-Based ERP Upgrade,ACC-002,LEAD-023,Discovery,60,20685,2025-11-21,2025-02-27,Won,"Upgrade existing on-premise ERP to a cloud-based solution, improving scalability and accessibility.",USER-005,2025-02-09,2025-02-27
OPP-069,ERP Customization & Integration,ACC-002,LEAD-023,Follow Up,30,39965,2025-03-31,2025-03-03,Won,Customize and integrate the ERP system with existing business applications and third-party tools.,USER-005,2025-02-17,2025-03-03
OPP-070,ERP Data Migration Project,ACC-001,LEAD-023,Follow Up,60,21066,2025-08-24,2025-02-26,Cancelled,"Plan and execute the migration of legacy data to the new ERP system, ensuring data integrity and accuracy.",USER-005,2025-02-22,2025-02-26
OPP-071,Post-Implementation ERP Support,ACC-001,LEAD-023,Connected,60,23277,2025-05-22,2025-03-28,Won,"Provide ongoing support and maintenance for the implemented ERP system, addressing user issues and system enhancements.",USER-005,2025-03-02,2025-03-28
OPP-072,ERP Security Enhancement,ACC-004,LEAD-023,Discovery,90,30751,2025-05-05,2025-03-09,Won,"Implement security measures to protect sensitive data within the ERP system, including access control and encryption.",USER-005,2025-03-06,2025-03-09
OPP-073,ERP Training & Adoption Program,ACC-002,LEAD-023,Follow Up,90,53069,2025-09-10,,In Progress,Develop and deliver training programs to ensure user adoption and effective utilization of the ERP system.,USER-005,2025-03-12,2025-03-21
OPP-074,ERP Process Optimization,ACC-001,LEAD-023,Follow Up,30,50485,2025-12-09,2025-04-17,Won,Analyze existing business processes and optimize them for integration with the new ERP system.,USER-005,2025-03-18,2025-04-17
OPP-075,ERP Implementation - TechCorp,ACC-004,LEAD-024,Discovery,30,22084,2026-02-04,2025-03-13,Won,"Comprehensive ERP system implementation for TechCorp, including requirements gathering, configuration, data migration, testing, and user training.",USER-006,2025-02-22,2025-03-13
OPP-076,Cloud-Based ERP Upgrade,ACC-002,LEAD-024,Connected,60,45741,2025-07-11,2025-03-09,Cancelled,"Upgrade existing on-premise ERP to a cloud-based solution, improving scalability and accessibility.",USER-006,2025-03-01,2025-03-09
OPP-077,ERP Customization & Integration,ACC-003,LEAD-024,Connected,60,58708,2025-09-18,2025-03-31,Cancelled,Customize and integrate the ERP system with existing business applications and third-party tools.,USER-006,2025-03-07,2025-03-31
OPP-078,ERP Data Migration Project,ACC-001,LEAD-024,Follow Up,60,19664,2026-02-01,2025-03-26,Won,"Plan and execute the migration of legacy data to the new ERP system, ensuring data integrity and accuracy.",USER-006,2025-03-16,2025-03-26
OPP-079,Post-Implementation ERP Support,ACC-001,LEAD-024,Connected,60,41126,2025-12-20,2025-04-05,Cancelled,"Provide ongoing support and maintenance for the implemented ERP system, addressing user issues and system enhancements.",USER-006,2025-03-21,2025-04-05
OPP-080,ERP Security Enhancement,ACC-002,LEAD-024,Discovery,60,41844,2025-05-07,2025-03-22,Cancelled,"Implement security measures to protect sensitive data within the ERP system, including access control and encryption.",USER-006,2025-03-21,2025-03-22
OPP-081,Firewall Implementation,ACC-001,LEAD-025,Connected,90,46725,2025-06-18,,In Progress,Implement and configure firewalls to control network traffic and protect against unauthorized access.,USER-008,2025-01-21,2025-01-28
OPP-082,Intrusion Detection/Prevention System (IDS/IPS),ACC-001,LEAD-025,Connected,60,17817,2025-05-16,2025-02-13,Won,Deploy IDS/IPS systems to detect and prevent network intrusions and malicious activity.,USER-008,2025-01-29,2025-02-13
OPP-083,Virtual Private Network (VPN) Deployment,ACC-001,LEAD-025,Discovery,60,23178,2025-08-09,,In Progress,Deploy VPN solutions to provide secure remote access to network resources.,USER-008,2025-02-06,2025-02-07
OPP-084,Security Information and Event Management (SIEM),ACC-001,LEAD-025,Connected,30,46980,2025-05-18,2025-03-02,Cancelled,"Implement SIEM solutions to collect, analyze, and correlate security logs and events.",USER-008,2025-02-15,2025-03-02
OPP-085,Network Access Control (NAC),ACC-004,LEAD-025,Connected,30,51259,2025-05-31,,In Progress,Implement NAC solutions to control access to network resources based on user and device identity.,USER-008,2025-02-18,2025-02-19
OPP-086,Wireless Network Security,ACC-002,LEAD-025,Connected,90,37263,2025-06-20,2025-03-15,Won,"Secure wireless networks using strong encryption, authentication, and access control measures.",USER-008,2025-02-22,2025-03-15
OPP-087,Network Segmentation,ACC-003,LEAD-025,Discovery,30,46251,2025-04-27,2025-03-16,Cancelled,Segment networks to isolate critical systems and limit the impact of security breaches.,USER-008,2025-02-26,2025-03-16
OPP-088,Infrastructure as a Service (IaaS),ACC-001,LEAD-027,Follow Up,60,10357,2025-06-22,2025-01-14,Cancelled,"Migrate on-premises infrastructure to IaaS cloud platforms, improving scalability and flexibility.",USER-015,2025-01-11,2025-01-14
OPP-089,Platform as a Service (PaaS),ACC-003,LEAD-027,Follow Up,60,41163,2025-10-27,,In Progress,"Migrate application development and deployment to PaaS cloud platforms, accelerating development cycles.",USER-015,2025-01-11,2025-01-22
OPP-090,Software as a Service (SaaS),ACC-002,LEAD-027,Connected,30,36753,2025-08-02,2025-01-20,Cancelled,"Migrate business applications to SaaS cloud platforms, reducing maintenance and operational overhead.",USER-015,2025-01-12,2025-01-20
OPP-091,Hybrid Cloud Implementation,ACC-003,LEAD-027,Follow Up,60,12640,2025-04-23,2025-01-29,Won,"Implement a hybrid cloud environment, integrating on-premises and cloud resources for optimal performance.",USER-015,2025-01-17,2025-01-29
OPP-092,Database Encryption,ACC-002,LEAD-029,Follow Up,90,50814,2025-11-18,2025-01-31,Cancelled,"Implement encryption for sensitive data stored in databases, protecting against unauthorized access.",USER-010,2025-01-30,2025-01-31
OPP-093,File Encryption,ACC-002,LEAD-029,Connected,90,16937,2025-11-14,2025-03-02,Won,Encrypt individual files and folders to protect sensitive data from unauthorized access and disclosure.,USER-010,2025-02-02,2025-03-02
OPP-094,Full Disk Encryption,ACC-004,LEAD-029,Follow Up,90,44031,2025-03-17,2025-02-18,Won,Encrypt entire hard drives or storage devices to protect all data stored on them.,USER-010,2025-02-04,2025-02-18
OPP-095,Email Encryption,ACC-004,LEAD-029,Discovery,30,51282,2025-05-13,2025-02-23,Cancelled,Encrypt email communications to protect sensitive information from interception and unauthorized access.,USER-010,2025-02-04,2025-02-23
OPP-096,Cloud Storage Encryption,ACC-001,LEAD-029,Discovery,30,39236,2025-04-16,2025-02-22,Won,"Encrypt data stored in cloud storage services, ensuring data privacy and security.",USER-010,2025-02-05,2025-02-22
OPP-097,Customer Experience Enhancement,ACC-002,LEAD-030,Connected,90,15685,2025-09-03,2025-03-08,Won,Implement digital solutions to enhance customer experience across all touchpoints.,USER-005,2025-02-24,2025-03-08
OPP-098,Business Process Automation,ACC-004,LEAD-030,Follow Up,90,40208,2025-08-08,,In Progress,Automate manual business processes using digital technologies to improve efficiency and reduce costs.,USER-005,2025-03-04,2025-03-26
OPP-099,Cloud Adoption Strategy,ACC-003,LEAD-030,Connected,30,17355,2025-07-30,2025-04-04,Won,Develop and execute a cloud adoption strategy to leverage cloud services for scalability and agility.,USER-005,2025-03-10,2025-04-04
OPP-100,Data-Driven Decision Making,ACC-004,LEAD-030,Discovery,60,26901,2025-11-24,2025-03-25,Cancelled,Implement data analytics and business intelligence tools to enable data-driven decision making.,USER-005,2025-03-14,2025-03-25
OPP-101,Mobile First Strategy,ACC-001,LEAD-030,Follow Up,60,25435,2025-12-04,,In Progress,Develop a mobile-first strategy to optimize digital experiences for mobile users.,USER-005,2025-03-22,2025-04-05
OPP-102,Infrastructure as a Service (IaaS),ACC-003,LEAD-031,Follow Up,30,27047,2025-11-08,2025-03-02,Won,"Migrate on-premises infrastructure to IaaS cloud platforms, improving scalability and flexibility.",USER-011,2025-02-05,2025-03-02
OPP-103,Platform as a Service (PaaS),ACC-004,LEAD-031,Connected,60,26195,2025-09-25,,In Progress,"Migrate application development and deployment to PaaS cloud platforms, accelerating development cycles.",USER-011,2025-02-13,2025-03-01
OPP-104,Software as a Service (SaaS),ACC-003,LEAD-031,Discovery,30,22919,2026-01-25,2025-03-03,Won,"Migrate business applications to SaaS cloud platforms, reducing maintenance and operational overhead.",USER-011,2025-02-17,2025-03-03
OPP-105,Hybrid Cloud Implementation,ACC-002,LEAD-031,Follow Up,90,37451,2025-06-03,2025-03-19,Won,"Implement a hybrid cloud environment, integrating on-premises and cloud resources for optimal performance.",USER-011,2025-02-24,2025-03-19
OPP-106,Infrastructure as a Service (IaaS),ACC-004,LEAD-033,Discovery,60,12675,2025-04-16,2025-01-10,Cancelled,"Migrate on-premises infrastructure to IaaS cloud platforms, improving scalability and flexibility.",USER-014,2024-12-25,2025-01-10
OPP-107,Platform as a Service (PaaS),ACC-001,LEAD-033,Connected,60,36262,2025-06-17,,In Progress,"Migrate application development and deployment to PaaS cloud platforms, accelerating development cycles.",USER-014,2024-12-28,2025-01-20
OPP-108,Software as a Service (SaaS),ACC-003,LEAD-033,Discovery,30,47711,2025-03-16,,In Progress,"Migrate business applications to SaaS cloud platforms, reducing maintenance and operational overhead.",USER-014,2024-12-28,2025-01-19
OPP-109,Hybrid Cloud Implementation,ACC-003,LEAD-033,Follow Up,30,40861,2025-08-09,2025-02-04,Cancelled,"Implement a hybrid cloud environment, integrating on-premises and cloud resources for optimal performance.",USER-014,2025-01-05,2025-02-04
OPP-110,Data Migration & Integration,ACC-003,LEAD-033,Discovery,90,33539,2025-05-09,,In Progress,"Migrate and integrate data from on-premises systems to the cloud, ensuring data consistency and accessibility.",USER-014,2025-01-06,2025-01-09
OPP-111,Web Application,ACC-001,LEAD-034,Connected,60,36744,2025-04-02,2024-12-01,Cancelled,Simulate real-world attacks against web applications to identify vulnerabilities and weaknesses.,USER-010,2024-11-30,2024-12-01
OPP-112,ERP Implementation - TechCorp,ACC-004,LEAD-035,Discovery,60,10894,2025-04-12,,In Progress,"Comprehensive ERP system implementation for TechCorp, including requirements gathering, configuration, data migration, testing, and user training.",USER-015,2025-02-09,2025-03-11
OPP-113,Cloud-Based ERP Upgrade,ACC-002,LEAD-035,Discovery,60,47881,2025-08-04,2025-03-13,Won,"Upgrade existing on-premise ERP to a cloud-based solution, improving scalability and accessibility.",USER-015,2025-02-14,2025-03-13
OPP-114,ERP Customization & Integration,ACC-004,LEAD-035,Follow Up,30,59240,2026-01-19,2025-03-12,Cancelled,Customize and integrate the ERP system with existing business applications and third-party tools.,USER-015,2025-02-22,2025-03-12
OPP-115,ERP Data Migration Project,ACC-002,LEAD-035,Discovery,90,44353,2025-10-20,2025-02-26,Won,"Plan and execute the migration of legacy data to the new ERP system, ensuring data integrity and accuracy.",USER-015,2025-02-25,2025-02-26
OPP-116,Post-Implementation ERP Support,ACC-004,LEAD-035,Connected,60,46415,2025-07-01,2025-03-14,Won,"Provide ongoing support and maintenance for the implemented ERP system, addressing user issues and system enhancements.",USER-015,2025-03-03,2025-03-14
OPP-117,Database Encryption,ACC-001,LEAD-036,Follow Up,60,14807,2025-10-01,2025-01-15,Cancelled,"Implement encryption for sensitive data stored in databases, protecting against unauthorized access.",USER-003,2024-12-25,2025-01-15
OPP-118,File Encryption,ACC-003,LEAD-036,Follow Up,60,55633,2025-02-27,2025-01-15,Won,Encrypt individual files and folders to protect sensitive data from unauthorized access and disclosure.,USER-003,2024-12-29,2025-01-15
OPP-119,Full Disk Encryption,ACC-001,LEAD-036,Follow Up,60,17070,2025-03-27,,In Progress,Encrypt entire hard drives or storage devices to protect all data stored on them.,USER-003,2024-12-30,2025-01-12
OPP-120,Email Encryption,ACC-001,LEAD-036,Connected,60,20541,2025-02-09,,In Progress,Encrypt email communications to protect sensitive information from interception and unauthorized access.,USER-003,2025-01-06,2025-01-27
OPP-121,Web Application,ACC-001,LEAD-039,Discovery,30,51621,2025-08-24,2024-12-25,Won,Simulate real-world attacks against web applications to identify vulnerabilities and weaknesses.,USER-008,2024-12-07,2024-12-25
OPP-122,Mobile Application,ACC-002,LEAD-039,Follow Up,60,48370,2025-03-22,2025-01-02,Won,Assess the security of mobile applications by simulating attacks on both the client and server sides.,USER-008,2024-12-08,2025-01-02
OPP-123,Customer Behavior Analysis,ACC-004,LEAD-040,Follow Up,30,42290,2025-10-14,2024-12-30,Won,"Develop analytics solutions to understand customer behavior, segmentation, and purchasing patterns.",USER-009,2024-12-14,2024-12-30
OPP-124,Sales Performance Optimization,ACC-001,LEAD-040,Follow Up,90,22113,2025-04-14,,In Progress,"Implement analytics to optimize sales processes, identify top performers, and improve revenue generation.",USER-009,2024-12-19,2025-01-13
OPP-125,Marketing Campaign Effectiveness,ACC-002,LEAD-040,Discovery,30,8508,2025-09-05,2025-01-06,Won,"Analyze marketing campaign data to measure effectiveness, ROI, and optimize future campaigns.",USER-009,2024-12-27,2025-01-06
OPP-126,Supply Chain Optimization,ACC-002,LEAD-040,Follow Up,60,46251,2025-04-14,2025-01-27,Won,"Apply analytics to optimize inventory management, logistics, and supply chain efficiency.",USER-009,2024-12-28,2025-01-27
OPP-127,Financial Forecasting,ACC-001,LEAD-040,Connected,90,58315,2025-10-28,,In Progress,"Build predictive models for financial forecasting, budgeting, and financial risk assessment.",USER-009,2025-01-01,2025-01-28
