ContractID,QuoteID,AccountID,ContractNumber,Name,Status,StartDate,EndDate,TotalValue,BillingFrequency,PaymentTerms,CreatedOn,ModifiedOn
CON-034,QUO-610,ACC-003,C2025-034,Ransomware Attack Contract,Completed,2025-05-04,2026-07-29,41025.42,As Per Contract Milestone,Net 90,2025-04-12,2026-07-29
CON-035,QUO-643,ACC-001,C2025-035,Denial of Service (DoS) Attack Contract,Pending,2025-06-07,2027-01-14,14164.07,Annually,Net 30,2025-05-17,2025-05-18
CON-036,QUO-652,ACC-001,C2025-036,Unauthorized Access Contract,Completed,2025-04-14,2026-11-03,25090.83,As Per Contract Milestone,Net 90,2025-04-02,2026-11-03
CON-037,QUO-653,ACC-002,C2025-037,Cloud Security Incident Contract,Draft,2025-03-12,2026-10-08,32674.23,As Per Contract Milestone,Net 90,2025-03-10,2025-03-23
CON-038,QUO-655,ACC-001,C2025-038,Network Intrusion Contract,Suspended,2025-02-23,2026-09-28,49263.63,Annually,Net 30,2025-02-08,2025-06-03
CON-039,QUO-682,ACC-003,C2025-039,Platform as a Service (PaaS) Contract,Pending,2025-06-14,2027-03-29,43642.65,Annually,Net 60,2025-05-26,2025-05-26
CON-040,QUO-699,ACC-001,C2025-040,Data Migration & Integration Contract,Cancelled,2025-01-29,2026-06-24,25637.95,Monthly,Net 90,2025-01-26,2025-02-24
CON-041,QUO-724,ACC-001,C2025-041,ERP Implementation - TechCorp Contract,Approved,2025-05-20,2026-12-02,27643.18,Monthly,Net 90,2025-04-23,2025-05-05
CON-042,QUO-744,ACC-003,C2025-042,File Encryption Contract,Cancelled,2025-05-09,2027-02-09,23270.89,Monthly,Net 30,2025-04-11,2025-04-12
CON-043,QUO-760,ACC-002,C2025-043,Mobile Device Encryption Contract,Completed,2025-02-18,2027-01-03,37981.37,Monthly,Net 90,2025-02-15,2027-01-03
CON-044,QUO-770,ACC-002,C2025-044,File Encryption Contract,Completed,2025-04-18,2026-11-29,25161.14,Quarterly,Net 30,2025-03-20,2026-11-29
CON-045,QUO-787,ACC-002,C2025-045,Email Encryption Contract,Expired,2025-04-15,2026-06-05,8846.14,As Per Contract Milestone,Net 30,2025-04-03,2026-06-11
CON-046,QUO-791,ACC-004,C2025-046,Cloud Storage Encryption Contract,Expired,2025-03-14,2026-09-18,35112.91,As Per Contract Milestone,Net 30,2025-02-16,2026-10-09
CON-047,QUO-804,ACC-003,C2025-047,Network Traffic Encryption (TLS/SSL) Contract,Approved,2025-04-08,2027-03-02,40654.44,Quarterly,Net 60,2025-04-08,2025-05-03
CON-048,QUO-829,ACC-004,C2025-048,Data Privacy and GDPR Contract,Suspended,2025-05-21,2026-07-12,28161.72,Monthly,Net 60,2025-05-19,2026-03-11
CON-049,QUO-860,ACC-001,C2025-049,Intrusion Detection/Prevention System (IDS/IPS) Contract,Suspended,2025-07-01,2027-02-17,17114.07,Monthly,Net 60,2025-06-23,2026-08-27
CON-050,QUO-867,ACC-003,C2025-050,Virtual Private Network (VPN) Deployment Contract,Draft,2025-05-22,2026-12-30,29161.41,Monthly,Net 90,2025-05-09,2025-05-11
CON-051,QUO-881,ACC-004,C2025-051,Network Access Control (NAC) Contract,Completed,2025-06-15,2027-01-28,40442.92,Quarterly,Net 60,2025-06-01,2027-01-28
CON-052,QUO-890,ACC-001,C2025-052,Wireless Network Security Contract,Draft,2025-05-24,2026-08-30,35569.08,Monthly,Net 90,2025-04-26,2025-04-28
CON-053,QUO-893,ACC-003,C2025-053,Network Segmentation Contract,Draft,2025-02-05,2026-09-20,25493.3,Annually,Net 60,2025-02-01,2025-02-15
CON-054,QUO-911,ACC-001,C2025-054,Intrusion Detection/Prevention System (IDS/IPS) Contract,Cancelled,2025-06-17,2027-05-09,20570.4,Quarterly,Net 30,2025-05-30,2025-06-05
CON-055,QUO-925,ACC-004,C2025-055,File Encryption Contract,Expired,2025-06-28,2027-03-03,11445.42,Quarterly,Net 60,2025-06-24,2027-03-15
CON-056,QUO-929,ACC-004,C2025-056,Full Disk Encryption Contract,Pending,2025-03-28,2026-04-14,16813.56,As Per Contract Milestone,Net 90,2025-03-06,2025-03-16
CON-057,QUO-946,ACC-003,C2025-057,Cloud Storage Encryption Contract,Approved,2025-07-24,2027-01-29,29723.24,As Per Contract Milestone,Net 90,2025-07-05,2025-08-01
CON-058,QUO-952,ACC-004,C2025-058,Mobile Device Encryption Contract,Completed,2025-07-10,2027-03-19,20259.15,As Per Contract Milestone,Net 30,2025-07-08,2027-03-19
CON-059,QUO-969,ACC-001,C2025-059,Network Traffic Encryption (TLS/SSL) Contract,Cancelled,2025-03-29,2026-07-06,25241.54,As Per Contract Milestone,Net 60,2025-03-05,2025-03-13
CON-060,QUO-984,ACC-001,C2025-060,Malware Infection Contract,Approved,2025-05-23,2026-07-18,25891.82,Monthly,Net 30,2025-05-14,2025-05-17
CON-061,QUO-989,ACC-004,C2025-061,Phishing Attack Contract,Expired,2025-05-03,2027-04-03,46178.5,Quarterly,Net 60,2025-04-11,2027-04-19
CON-062,QUO-999,ACC-003,C2025-062,Insider Threat Contract,Expired,2025-06-17,2026-09-17,22778.11,Quarterly,Net 60,2025-06-05,2026-09-21
CON-063,QUO-1013,ACC-002,C2025-063,Cloud Security Incident Contract,Pending,2025-05-07,2026-09-22,48427.33,Monthly,Net 60,2025-04-09,2025-04-16
CON-064,QUO-1016,ACC-002,C2025-064,Network Infrastructure Contract,Approved,2025-03-08,2026-04-12,13065.3,Annually,Net 90,2025-02-25,2025-03-18
CON-065,QUO-1061,ACC-004,C2025-065,Internal Systems Contract,Completed,2025-03-26,2026-03-29,27674.47,Quarterly,Net 90,2025-02-28,2026-03-29
CON-066,QUO-1085,ACC-003,C2025-066,Password Security Contract,Cancelled,2025-03-14,2026-08-04,18856.65,Quarterly,Net 60,2025-02-28,2025-03-11
CON-067,QUO-1108,ACC-002,C2025-067,Data Breach Contract,Suspended,2025-05-06,2026-06-20,19151.56,As Per Contract Milestone,Net 60,2025-04-28,2026-03-04
CON-068,QUO-1135,ACC-001,C2025-068,Platform as a Service (PaaS) Contract,Expired,2025-01-23,2026-05-10,51992.58,Monthly,Net 30,2025-01-13,2026-05-14
CON-069,QUO-1142,ACC-004,C2025-069,Software as a Service (SaaS) Contract,Expired,2025-06-13,2026-12-05,30951.81,As Per Contract Milestone,Net 90,2025-06-12,2026-12-07
CON-070,QUO-1152,ACC-002,C2025-070,Data Migration & Integration Contract,Completed,2025-06-06,2026-06-09,22330.7,As Per Contract Milestone,Net 60,2025-06-01,2026-06-09
CON-071,QUO-1185,ACC-003,C2025-071,Network Access Control (NAC) Contract,Suspended,2025-07-04,2026-12-07,21290.54,Quarterly,Net 60,2025-06-13,2027-03-22
CON-072,QUO-1197,ACC-003,C2025-072,Ransomware Attack Contract,Draft,2025-03-02,2026-04-02,20289.81,Annually,Net 90,2025-02-21,2025-03-11
CON-073,QUO-1207,ACC-004,C2025-073,Data Breach Contract,Cancelled,2025-07-08,2027-02-20,44709.43,Annually,Net 60,2025-06-15,2025-06-29
CON-074,QUO-1214,ACC-002,C2025-074,Malware Infection Contract,Approved,2025-05-23,2027-02-12,44811.63,Quarterly,Net 60,2025-04-29,2025-05-20
CON-075,QUO-1232,ACC-004,C2025-075,Denial of Service (DoS) Attack Contract,Approved,2025-05-14,2026-10-20,24831.1,Annually,Net 60,2025-04-25,2025-05-10
CON-076,QUO-1240,ACC-003,C2025-076,Insider Threat Contract,Pending,2025-07-28,2027-02-15,36799.92,Monthly,Net 30,2025-06-28,2025-07-09
CON-077,QUO-1250,ACC-001,C2025-077,Cloud Security Incident Contract,Expired,2025-08-29,2027-06-16,15968.37,As Per Contract Milestone,Net 90,2025-08-03,2027-07-16
CON-078,QUO-1252,ACC-002,C2025-078,Network Intrusion Contract,Expired,2025-02-02,2026-12-30,27612.24,As Per Contract Milestone,Net 90,2025-01-06,2027-01-04
CON-079,QUO-1260,ACC-003,C2025-079,ERP Implementation - TechCorp Contract,Pending,2025-06-07,2027-05-26,34764.77,As Per Contract Milestone,Net 30,2025-05-13,2025-06-07
CON-080,QUO-1261,ACC-004,C2025-080,Ransomware Attack Contract,Draft,2025-04-17,2026-08-10,31555.42,Annually,Net 30,2025-03-20,2025-04-06
CON-081,QUO-1285,ACC-001,C2025-081,Denial of Service (DoS) Attack Contract,Approved,2025-02-17,2026-11-24,9082.79,Quarterly,Net 90,2025-02-06,2025-03-05
CON-082,QUO-1310,ACC-004,C2025-082,Network Infrastructure Contract,Cancelled,2025-04-23,2027-01-30,17597.37,Monthly,Net 30,2025-04-20,2025-05-07
CON-083,QUO-1324,ACC-002,C2025-083,Firewall Implementation Contract,Suspended,2025-05-31,2027-05-18,23899.84,Annually,Net 60,2025-05-14,2027-02-11
CON-084,QUO-1332,ACC-003,C2025-084,Intrusion Detection/Prevention System (IDS/IPS) Contract,Cancelled,2025-05-15,2027-02-04,9178.46,As Per Contract Milestone,Net 60,2025-04-20,2025-05-20
CON-085,QUO-1337,ACC-001,C2025-085,Virtual Private Network (VPN) Deployment Contract,Draft,2025-06-15,2027-05-10,10079.03,Quarterly,Net 60,2025-05-24,2025-06-11
CON-086,QUO-1339,ACC-002,C2025-086,Phishing Simulation Contract,Approved,2025-03-25,2026-07-09,33081.95,Annually,Net 90,2025-03-01,2025-03-19
CON-087,QUO-1417,ACC-004,C2025-087,Compliance (HIPAA) Contract,Expired,2025-06-19,2026-09-23,51753.64,Monthly,Net 60,2025-06-09,2026-10-01
CON-088,QUO-1425,ACC-002,C2025-088,Infrastructure as a Service (IaaS) Contract,Expired,2025-06-21,2027-04-09,11643.29,Quarterly,Net 60,2025-05-29,2027-05-09
CON-089,QUO-1443,ACC-002,C2025-089,Marketing Campaign Effectiveness Contract,Pending,2025-07-31,2026-12-25,39853.49,Monthly,Net 60,2025-07-21,2025-08-03
CON-090,QUO-1456,ACC-002,C2025-090,Ransomware Attack Contract,Cancelled,2025-05-09,2027-03-08,31986.04,Annually,Net 90,2025-04-11,2025-05-08
CON-091,QUO-1477,ACC-002,C2025-091,Ransomware Attack Contract,Expired,2025-03-26,2026-12-24,25882.45,Quarterly,Net 60,2025-03-11,2026-12-28
CON-092,QUO-1540,ACC-004,C2025-092,Full Disk Encryption Contract,Draft,2025-02-07,2026-05-18,38763.55,Quarterly,Net 30,2025-01-16,2025-02-02
CON-093,QUO-1545,ACC-002,C2025-093,Mobile Device Encryption Contract,Expired,2025-02-19,2026-12-27,18281.46,Annually,Net 30,2025-01-29,2026-12-28
CON-094,QUO-1577,ACC-002,C2025-094,Hardware Security Module (HSM) Integration Contract,Approved,2025-08-25,2027-04-14,32041.33,Quarterly,Net 90,2025-08-13,2025-09-11
CON-095,QUO-1587,ACC-002,C2025-095,ERP Data Migration Project Contract,Completed,2025-02-24,2026-09-04,49044.71,Quarterly,Net 90,2025-02-21,2026-09-04
CON-096,QUO-1613,ACC-004,C2025-096,Wireless Network Contract,Approved,2025-08-14,2027-02-26,33108.6,Annually,Net 90,2025-07-19,2025-07-20
CON-097,QUO-1621,ACC-001,C2025-097,Cloud-Based ERP Upgrade Contract,Completed,2025-04-02,2026-10-11,17815.97,Monthly,Net 90,2025-03-03,2026-10-11
CON-098,QUO-1631,ACC-004,C2025-098,Phishing Simulation Contract,Draft,2025-02-08,2026-06-12,27422.61,Quarterly,Net 30,2025-02-03,2025-02-24
CON-099,QUO-1679,ACC-002,C2025-099,Supply Chain Optimization Contract,Draft,2025-05-30,2027-01-22,49850.82,Monthly,Net 90,2025-05-18,2025-06-12
CON-100,QUO-1687,ACC-001,C2025-100,Financial Forecasting Contract,Completed,2025-07-10,2027-02-06,28470.95,Annually,Net 60,2025-06-10,2027-02-06
CON-101,QUO-1715,ACC-003,C2025-101,Customer Experience Enhancement Contract,Completed,2025-06-19,2027-03-13,12240.67,Quarterly,Net 60,2025-06-08,2027-03-13
CON-102,QUO-1717,ACC-004,C2025-102,Business Process Automation Contract,Expired,2025-03-12,2027-01-21,32615.28,As Per Contract Milestone,Net 60,2025-02-21,2027-02-17
CON-103,QUO-1732,ACC-003,C2025-103,Cloud-Based ERP Upgrade Contract,Approved,2025-03-29,2026-05-04,12563.97,Quarterly,Net 90,2025-03-25,2025-03-29
CON-104,QUO-1750,ACC-002,C2025-104,Post-Implementation ERP Support Contract,Completed,2025-05-13,2026-12-15,40306.17,As Per Contract Milestone,Net 30,2025-05-12,2026-12-15
CON-105,QUO-1778,ACC-004,C2025-105,Cloud Adoption Strategy Contract,Cancelled,2025-03-26,2026-11-06,7797.63,As Per Contract Milestone,Net 60,2025-03-10,2025-03-13
CON-106,QUO-1790,ACC-002,C2025-106,Intrusion Detection/Prevention System (IDS/IPS) Contract,Approved,2025-06-19,2027-01-08,27755.4,Annually,Net 60,2025-05-21,2025-06-04
CON-107,QUO-1791,ACC-003,C2025-107,Virtual Private Network (VPN) Deployment Contract,Cancelled,2025-02-03,2026-02-16,33677.1,Quarterly,Net 60,2025-01-19,2025-02-15
CON-108,QUO-1806,ACC-001,C2025-108,Network Access Control (NAC) Contract,Approved,2025-06-07,2026-10-04,37879.36,As Per Contract Milestone,Net 60,2025-05-16,2025-05-31
CON-109,QUO-1837,ACC-001,C2025-109,Email Encryption Contract,Pending,2025-06-25,2027-06-03,25500.32,As Per Contract Milestone,Net 30,2025-06-23,2025-07-22
CON-110,QUO-1842,ACC-001,C2025-110,Mobile Device Encryption Contract,Expired,2025-04-07,2026-08-02,33908.49,Quarterly,Net 60,2025-03-12,2026-08-15
