Date of Test Executed,Project ID,Project Name,User ID,User Agent,Testing Scope,Testing Scope Status,Test Case ID,Test Case,Test Case Status,Request Method,Requested Source,Test Case Outcome Message,Error Message,Actual Test Case Outcome,Reason for failure/success,Response Size,Findings (Affected Components),Severity ratings
,PRJ-068,Test Case 16,USER-033,,WEB,In progress,TC-016,Payment gateway,Not Started,,,,,,,,Login form,High
,PRJ-056,Test Case 17,USER-021,,APP,In progress,TC-017,Session management,Not Started,,,,,,,,User profile page,Low
,PRJ-081,Test Case 18,USER-039,,WEB,In progress,TC-018,User profile page,Not Started,,,,,,,,Session management,Low
,PRJ-077,Test Case 19,USER-042,,APP,Not started,TC-019,Payment gateway,Not Started,,,,,,,,Payment gateway,Medium
,PRJ-008,Test Case 20,USER-031,,WEB,In progress,TC-020,Login form,Not Started,,,,,,,,Session management,Medium
,PRJ-017,Test Case 21,USER-085,,APP,In progress,TC-021,Session management,Not Started,,,,,,,,Session management,Critical
"Tue, 22 Oct 2024 02:21:08 GMT",PRJ-028,Test Case 22,USER-070,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,In progress,TC-022,Payment gateway,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Critical
,PRJ-016,Test Case 23,USER-032,,WEB,In progress,TC-023,Login form,Not Started,,,,,,,,Session management,Medium
,PRJ-076,Test Case 24,USER-029,,WEB,Not started,TC-024,User profile page,Not Started,,,,,,,,Login form,Low
"Tue, 22 Oct 2024 02:21:09 GMT",PRJ-043,Test Case 25,USER-010,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Completed,TC-025,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Medium
,PRJ-093,Test Case 26,USER-074,,APP,In progress,TC-026,Database,Not Started,,,,,,,,User profile page,Low
"Tue, 22 Oct 2024 02:21:10 GMT",PRJ-013,Test Case 27,USER-085,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,In progress,TC-027,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Low
,PRJ-087,Test Case 28,USER-084,,WEB,In progress,TC-028,Payment gateway,Not Started,,,,,,,,Login form,Medium
,PRJ-025,Test Case 29,USER-025,,APP,In progress,TC-029,User profile page,Not Started,,,,,,,,Payment gateway,Critical
,PRJ-032,Test Case 30,USER-010,,APP,Not started,TC-030,Session management,Not Started,,,,,,,,Login form,Low
"Tue, 22 Oct 2024 02:21:11 GMT",PRJ-097,Test Case 31,USER-031,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,In progress,TC-031,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Critical
,PRJ-008,Test Case 32,USER-022,,APP,In progress,TC-032,Payment gateway,Not Started,,,,,,,,Database,High
,PRJ-055,Test Case 33,USER-090,,APP,Not started,TC-033,Payment gateway,Not Started,,,,,,,,User profile page,Low
"Tue, 22 Oct 2024 02:21:12 GMT",PRJ-075,Test Case 34,USER-095,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Not started,TC-034,Login form,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Critical
,PRJ-065,Test Case 35,USER-068,,WEB,Not started,TC-035,User profile page,Not Started,,,,,,,,Login form,Low
,PRJ-087,Test Case 36,USER-031,,APP,Not started,TC-036,Session management,Not Started,,,,,,,,Session management,Low
"Tue, 22 Oct 2024 02:21:13 GMT",PRJ-080,Test Case 37,USER-011,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,In progress,TC-037,User profile page,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,Medium
"Tue, 22 Oct 2024 02:21:14 GMT",PRJ-034,Test Case 38,USER-051,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,In progress,TC-038,Payment gateway,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Low
,PRJ-059,Test Case 39,USER-080,,WEB,Not started,TC-039,Session management,Not Started,,,,,,,,Payment gateway,Medium
"Tue, 22 Oct 2024 02:21:15 GMT",PRJ-045,Test Case 40,USER-009,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,In progress,TC-040,User profile page,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,High
"Tue, 22 Oct 2024 02:21:16 GMT",PRJ-079,Test Case 41,USER-084,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Completed,TC-041,Login form,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,High
"Tue, 22 Oct 2024 02:21:18 GMT",PRJ-015,Test Case 42,USER-014,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,In progress,TC-042,Session management,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,High
"Tue, 22 Oct 2024 02:21:19 GMT",PRJ-027,Test Case 43,USER-088,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,In progress,TC-043,Login form,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Critical
"Tue, 22 Oct 2024 02:21:20 GMT",PRJ-036,Test Case 44,USER-006,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Not started,TC-044,Payment gateway,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Critical
,PRJ-071,Test Case 45,USER-091,,APP,Not started,TC-045,Login form,Not Started,,,,,,,,User profile page,Low
"Tue, 22 Oct 2024 02:21:21 GMT",PRJ-048,Test Case 46,USER-075,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Not started,TC-046,Login form,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,High
,PRJ-006,Test Case 47,USER-046,,WEB,Not started,TC-047,Payment gateway,Not Started,,,,,,,,Session management,Critical
,PRJ-080,Test Case 48,USER-096,,WEB,Not started,TC-048,User profile page,Not Started,,,,,,,,Database,Low
"Tue, 22 Oct 2024 02:21:22 GMT",PRJ-023,Test Case 49,USER-095,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Completed,TC-049,User profile page,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,Medium
,PRJ-090,Test Case 50,USER-014,,APP,In progress,TC-050,User profile page,Not Started,,,,,,,,User profile page,Critical
,PRJ-045,Test Case 51,USER-040,,WEB,Not started,TC-051,User profile page,Not Started,,,,,,,,Database,High
"Tue, 22 Oct 2024 02:21:23 GMT",PRJ-036,Test Case 52,USER-009,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Completed,TC-052,Session management,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,High
,PRJ-004,Test Case 53,USER-015,,APP,In progress,TC-053,Login form,Not Started,,,,,,,,Login form,Critical
"Tue, 22 Oct 2024 02:21:24 GMT",PRJ-045,Test Case 54,USER-094,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Completed,TC-054,Session management,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Critical
,PRJ-074,Test Case 55,USER-025,,APP,In progress,TC-055,Login form,Not Started,,,,,,,,Session management,Medium
"Tue, 22 Oct 2024 02:21:25 GMT",PRJ-047,Test Case 56,USER-056,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Completed,TC-056,Payment gateway,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,High
"Tue, 22 Oct 2024 02:21:26 GMT",PRJ-065,Test Case 57,USER-040,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,In progress,TC-057,Payment gateway,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Medium
,PRJ-025,Test Case 58,USER-054,,APP,In progress,TC-058,Database,Not Started,,,,,,,,Session management,Low
"Tue, 22 Oct 2024 02:21:27 GMT",PRJ-039,Test Case 59,USER-037,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Completed,TC-059,Session management,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,Critical
"Tue, 22 Oct 2024 02:21:28 GMT",PRJ-057,Test Case 60,USER-057,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Completed,TC-060,User profile page,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,High
,PRJ-066,Test Case 61,USER-085,,APP,Not started,TC-061,Payment gateway,Not Started,,,,,,,,User profile page,Medium
,PRJ-019,Test Case 62,USER-004,,WEB,In progress,TC-062,Session management,Not Started,,,,,,,,Login form,Critical
"Tue, 22 Oct 2024 02:21:30 GMT",PRJ-054,Test Case 63,USER-081,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,In progress,TC-063,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Medium
,PRJ-084,Test Case 64,USER-089,,WEB,In progress,TC-064,User profile page,Not Started,,,,,,,,User profile page,Critical
,PRJ-007,Test Case 65,USER-072,,WEB,In progress,TC-065,User profile page,Not Started,,,,,,,,Database,High
"Tue, 22 Oct 2024 02:21:31 GMT",PRJ-097,Test Case 66,USER-057,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Not started,TC-066,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,High
"Tue, 22 Oct 2024 02:21:32 GMT",PRJ-097,Test Case 67,USER-032,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Completed,TC-067,User profile page,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,Critical
,PRJ-010,Test Case 68,USER-092,,APP,In progress,TC-068,Payment gateway,Not Started,,,,,,,,Payment gateway,Low
"Tue, 22 Oct 2024 02:21:33 GMT",PRJ-018,Test Case 69,USER-020,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Completed,TC-069,User profile page,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Low
"Tue, 22 Oct 2024 02:21:34 GMT",PRJ-054,Test Case 70,USER-053,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,In progress,TC-070,Login form,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Critical
"Tue, 22 Oct 2024 02:21:35 GMT",PRJ-050,Test Case 71,USER-099,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,In progress,TC-071,Login form,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,High
,PRJ-097,Test Case 72,USER-050,,APP,In progress,TC-072,User profile page,Not Started,,,,,,,,Payment gateway,Critical
"Tue, 22 Oct 2024 02:21:36 GMT",PRJ-063,Test Case 73,USER-004,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Completed,TC-073,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Critical
"Tue, 22 Oct 2024 02:21:37 GMT",PRJ-017,Test Case 74,USER-080,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Completed,TC-074,Session management,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Low
"Tue, 22 Oct 2024 02:21:38 GMT",PRJ-083,Test Case 75,USER-055,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Not started,TC-075,Login form,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,Critical
"Tue, 22 Oct 2024 02:21:39 GMT",PRJ-042,Test Case 76,USER-028,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,In progress,TC-076,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,Critical
,PRJ-033,Test Case 77,USER-011,,APP,Not started,TC-077,Payment gateway,Not Started,,,,,,,,User profile page,Low
,PRJ-084,Test Case 78,USER-006,,WEB,Not started,TC-078,Login form,Not Started,,,,,,,,Session management,Medium
,PRJ-031,Test Case 79,USER-017,,APP,Not started,TC-079,Database,Not Started,,,,,,,,Payment gateway,High
,PRJ-022,Test Case 80,USER-078,,WEB,In progress,TC-080,Login form,Not Started,,,,,,,,Session management,Low
"Tue, 22 Oct 2024 02:21:40 GMT",PRJ-040,Test Case 81,USER-074,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Completed,TC-081,User profile page,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Medium
,PRJ-014,Test Case 82,USER-090,,APP,Not started,TC-082,Payment gateway,Not Started,,,,,,,,Session management,Critical
"Tue, 22 Oct 2024 02:21:41 GMT",PRJ-085,Test Case 83,USER-048,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Not started,TC-083,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Low
,PRJ-056,Test Case 84,USER-047,,APP,In progress,TC-084,User profile page,Not Started,,,,,,,,Session management,High
"Tue, 22 Oct 2024 02:21:58 GMT",PRJ-079,Test Case 85,USER-069,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,In progress,TC-085,Session management,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,High
"Tue, 22 Oct 2024 02:22:14 GMT",PRJ-032,Test Case 86,USER-012,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Not started,TC-086,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Critical
"Tue, 22 Oct 2024 02:22:15 GMT",PRJ-044,Test Case 87,USER-004,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Not started,TC-087,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,High
"Tue, 22 Oct 2024 02:22:16 GMT",PRJ-034,Test Case 88,USER-044,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Completed,TC-088,Login form,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Medium
"Tue, 22 Oct 2024 02:22:17 GMT",PRJ-011,Test Case 89,USER-031,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Completed,TC-089,User profile page,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Critical
"Tue, 22 Oct 2024 02:22:18 GMT",PRJ-058,Test Case 90,USER-003,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Not started,TC-090,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4535,User profile page,High
"Tue, 22 Oct 2024 02:22:32 GMT",PRJ-085,Test Case 91,USER-075,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Completed,TC-091,Session management,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,Critical
"Tue, 22 Oct 2024 02:22:33 GMT",PRJ-096,Test Case 92,USER-071,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Completed,TC-092,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,High
,PRJ-033,Test Case 93,USER-030,,WEB,In progress,TC-093,Login form,Not Started,,,,,,,,Session management,Medium
"Tue, 22 Oct 2024 02:22:34 GMT",PRJ-025,Test Case 94,USER-028,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Completed,TC-094,Session management,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4524,Session management,High
,PRJ-013,Test Case 95,USER-025,,APP,In progress,TC-095,User profile page,Not Started,,,,,,,,Payment gateway,Low
"Tue, 22 Oct 2024 02:22:36 GMT",PRJ-091,Test Case 96,USER-069,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Not started,TC-096,Login form,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,High
,PRJ-090,Test Case 97,USER-017,,APP,Not started,TC-097,Session management,Not Started,,,,,,,,Payment gateway,Critical
,PRJ-062,Test Case 98,USER-057,,APP,Not started,TC-098,Payment gateway,Not Started,,,,,,,,Database,Low
,PRJ-009,Test Case 99,USER-052,,APP,Not started,TC-099,User profile page,Not Started,,,,,,,,User profile page,High
"Tue, 22 Oct 2024 02:22:37 GMT",PRJ-011,Test Case 100,USER-032,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Completed,TC-100,Session management,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4899,Session management,Medium
"Tue, 22 Oct 2024 02:22:41 GMT",PRJ-067,Test Case 101,USER-049,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,In progress,TC-101,Session management,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4292,Database,High
,PRJ-073,Test Case 102,USER-080,,WEB,Not started,TC-102,User profile page,Not Started,,,,,,,,Payment gateway,Low
,PRJ-021,Test Case 103,USER-031,,WEB,Not started,TC-103,Login form,Not Started,,,,,,,,Database,Critical
"Tue, 22 Oct 2024 02:22:45 GMT",PRJ-089,Test Case 104,USER-077,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Not started,TC-104,User profile page,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,High
,PRJ-090,Test Case 105,USER-059,,WEB,In progress,TC-105,Session management,Not Started,,,,,,,,User profile page,Critical
,PRJ-015,Test Case 106,USER-070,,WEB,In progress,TC-106,User profile page,Not Started,,,,,,,,Login form,Low
"Tue, 22 Oct 2024 02:22:46 GMT",PRJ-022,Test Case 107,USER-040,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Not started,TC-107,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,Critical
"Tue, 22 Oct 2024 02:22:47 GMT",PRJ-035,Test Case 108,USER-065,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Not started,TC-108,Session management,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Critical
,PRJ-095,Test Case 109,USER-042,,APP,Not started,TC-109,User profile page,Not Started,,,,,,,,Session management,Low
,PRJ-098,Test Case 110,USER-087,,APP,Not started,TC-110,Database,Not Started,,,,,,,,Session management,Critical
"Tue, 22 Oct 2024 02:22:48 GMT",PRJ-036,Test Case 111,USER-024,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Not started,TC-111,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,Critical
,PRJ-043,Test Case 112,USER-042,,WEB,In progress,TC-112,Database,Not Started,,,,,,,,Database,High
"Tue, 22 Oct 2024 02:22:49 GMT",PRJ-085,Test Case 113,USER-052,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Not started,TC-113,Payment gateway,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,High
,PRJ-015,Test Case 114,USER-099,,APP,In progress,TC-114,Database,Not Started,,,,,,,,Login form,Medium
"Tue, 22 Oct 2024 02:22:50 GMT",PRJ-067,Test Case 115,USER-047,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Not started,TC-115,User profile page,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,Medium
,PRJ-037,Test Case 116,USER-057,,APP,Not started,TC-116,Session management,Not Started,,,,,,,,User profile page,Medium
"Tue, 22 Oct 2024 02:22:51 GMT",PRJ-040,Test Case 117,USER-071,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Not started,TC-117,User profile page,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Critical
"Tue, 22 Oct 2024 02:22:52 GMT",PRJ-016,Test Case 118,USER-083,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Completed,TC-118,Payment gateway,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,High
,PRJ-054,Test Case 119,USER-062,,APP,In progress,TC-119,Session management,Not Started,,,,,,,,User profile page,Critical
,PRJ-025,Test Case 120,USER-077,,WEB,In progress,TC-120,Database,Not Started,,,,,,,,Payment gateway,High
"Tue, 22 Oct 2024 02:22:54 GMT",PRJ-001,Test Case 121,USER-037,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Not started,TC-121,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Critical
"Tue, 22 Oct 2024 02:22:55 GMT",PRJ-045,Test Case 122,USER-043,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,In progress,TC-122,User profile page,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Critical
"Tue, 22 Oct 2024 02:22:56 GMT",PRJ-030,Test Case 123,USER-053,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Completed,TC-123,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Critical
"Tue, 22 Oct 2024 02:22:57 GMT",PRJ-085,Test Case 124,USER-084,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Not started,TC-124,User profile page,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,High
"Tue, 22 Oct 2024 02:22:58 GMT",PRJ-013,Test Case 125,USER-057,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,Not started,TC-125,User profile page,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Database,Medium
"Tue, 22 Oct 2024 02:23:02 GMT",PRJ-010,Test Case 126,USER-061,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Completed,TC-126,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Login form,High
"Tue, 22 Oct 2024 02:23:06 GMT",PRJ-087,Test Case 127,USER-069,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,Completed,TC-127,Database,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Session management,Low
