Deadline,Date of Test Executed,Project ID,Project Name,User ID,User Agent,Testing Scope,Test Case ID,Test Case,Test Case Status,Request Method,Requested Source,Test Case Outcome Message,Error Message,Actual Test Case Outcome,Reason for failure,Response Size,Findings (Affected Components),Severity ratings
05/10/2024,22/10/2024,PRJ-082,Web Application Contract Project,USER-015,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-001,Input Validation,Completed,GET,/v1/tiles,Fail,HTTP/2 204 No Content,,,,User profile page,Medium
30/10/2024,22/10/2024,PRJ-005,Customer Experience Enhancement Contract Project,USER-041,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-014,Input Validation,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Medium
29/10/2024,22/10/2024,PRJ-073,Wireless Network Security Contract Project,USER-092,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-015,Authorization,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Critical
24/10/2024,22/10/2024,PRJ-083,Application Modernization Contract Project,USER-059,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-016,Input Validation,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Medium
12/10/2024,22/10/2024,PRJ-072,Sales Performance Optimization Contract Project,USER-069,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-017,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Critical
05/10/2024,22/10/2024,PRJ-029,Operational Efficiency Improvement Contract Project,USER-018,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-018,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Low
13/10/2024,22/10/2024,PRJ-081,Software as a Service (SaaS) Contract Project,USER-021,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-019,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Critical
22/10/2024,22/10/2024,PRJ-077,Marketing Campaign Effectiveness Contract Project,USER-060,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-020,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Low
14/10/2024,22/10/2024,PRJ-069,Infrastructure as a Service (IaaS) Contract Project,USER-097,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-021,Input Validation,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,High
17/10/2024,22/10/2024,PRJ-021,Intrusion Detection/Prevention System (IDS/IPS) Contract Project,USER-059,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-022,Input Validation,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Medium
05/10/2024,22/10/2024,PRJ-014,Network Access Control (NAC) Contract Project,USER-081,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-023,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Medium
20/10/2024,22/10/2024,PRJ-048,Ransomware Prevention Contract Project,USER-098,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-024,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Low
08/10/2024,22/10/2024,PRJ-042,Financial Forecasting Contract Project,USER-063,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-025,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,High
25/10/2024,22/10/2024,PRJ-008,Data Migration & Integration Contract Project,USER-031,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-026,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Low
09/10/2024,22/10/2024,PRJ-069,Infrastructure as a Service (IaaS) Contract Project,USER-099,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-027,Authorization,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Medium
23/10/2024,22/10/2024,PRJ-068,Cloud Environment Contract Project,USER-078,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-028,Authorization,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Medium
04/10/2024,22/10/2024,PRJ-040,Web Application Contract Project,USER-052,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-029,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Critical
19/10/2024,22/10/2024,PRJ-032,Intrusion Detection/Prevention System (IDS/IPS) Contract Project,USER-029,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-030,Input Validation,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Medium
29/10/2024,22/10/2024,PRJ-029,Operational Efficiency Improvement Contract Project,USER-001,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-031,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Low
22/10/2024,22/10/2024,PRJ-005,Customer Experience Enhancement Contract Project,USER-043,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-032,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,High
08/10/2024,22/10/2024,PRJ-063,Platform as a Service (PaaS) Contract Project,USER-028,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-033,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Critical
12/10/2024,22/10/2024,PRJ-061,Marketing Campaign Effectiveness Contract Project,USER-053,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-034,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Critical
13/10/2024,22/10/2024,PRJ-055,Mobile Application Contract Project,USER-053,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-035,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Low
18/10/2024,22/10/2024,PRJ-094,API Security Contract Project,USER-044,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-036,Authorization,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Medium
08/10/2024,22/10/2024,PRJ-058,ERP Implementation - TechCorp Contract Project,USER-018,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-037,Authorization,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,Critical
03/10/2024,22/10/2024,PRJ-010,Data-Driven Decision Making Contract Project,USER-057,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-038,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Low
07/10/2024,22/10/2024,PRJ-097,ERP Customization & Integration Contract Project,USER-031,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-039,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Critical
09/10/2024,22/10/2024,PRJ-052,Denial of Service (DoS) Attack Contract Project,USER-008,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-040,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Critical
07/10/2024,22/10/2024,PRJ-059,Supply Chain Optimization Contract Project,USER-037,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-041,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Medium
24/10/2024,22/10/2024,PRJ-038,Cloud Storage Encryption Contract Project,USER-028,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-042,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Low
02/10/2024,22/10/2024,PRJ-041,Platform as a Service (PaaS) Contract Project,USER-008,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-043,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Medium
22/10/2024,22/10/2024,PRJ-066,Cloud Adoption Strategy Contract Project,USER-011,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-044,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Low
20/10/2024,22/10/2024,PRJ-031,Sales Performance Optimization Contract Project,USER-052,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-045,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Low
08/10/2024,22/10/2024,PRJ-011,ERP Data Migration Project Contract Project,USER-054,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-046,Input Validation,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4535,User profile page,High
30/10/2024,22/10/2024,PRJ-034,Mobile First Strategy Contract Project,USER-051,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-047,Input Validation,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,High
03/10/2024,22/10/2024,PRJ-097,ERP Customization & Integration Contract Project,USER-010,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-048,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Session management,Low
29/10/2024,22/10/2024,PRJ-069,Infrastructure as a Service (IaaS) Contract Project,USER-028,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-049,Authorization,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4524,Payment gateway,Low
20/10/2024,22/10/2024,PRJ-032,Intrusion Detection/Prevention System (IDS/IPS) Contract Project,USER-048,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-050,Authorization,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,High
31/10/2024,22/10/2024,PRJ-084,Cost Optimization Contract Project,USER-068,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-051,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4899,Payment gateway,Low
09/10/2024,22/10/2024,PRJ-018,ERP Security Enhancement Contract Project,USER-034,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-052,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4292,Session management,Medium
17/10/2024,22/10/2024,PRJ-037,Business Process Automation Contract Project,USER-078,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-053,Input Validation,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,High
02/10/2024,22/10/2024,PRJ-063,Platform as a Service (PaaS) Contract Project,USER-033,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-054,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,High
18/10/2024,22/10/2024,PRJ-001,External Network Contract Project,USER-043,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-055,Input Validation,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Critical
18/10/2024,22/10/2024,PRJ-091,Firewall Implementation Contract Project,USER-055,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-056,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Medium
10/10/2024,22/10/2024,PRJ-005,Customer Experience Enhancement Contract Project,USER-048,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-057,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Low
12/10/2024,22/10/2024,PRJ-047,Security and Compliance Contract Project,USER-006,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-058,Authorization,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Low
29/10/2024,22/10/2024,PRJ-072,Sales Performance Optimization Contract Project,USER-053,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-059,Authorization,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Medium
09/10/2024,22/10/2024,PRJ-053,Data Migration & Integration Contract Project,USER-004,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-060,Input Validation,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,Medium
08/10/2024,22/10/2024,PRJ-021,Intrusion Detection/Prevention System (IDS/IPS) Contract Project,USER-090,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-061,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Login form,Critical
01/10/2024,22/10/2024,PRJ-026,Compliance (HIPAA) Contract Project,USER-059,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-062,Input Validation,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,User profile page,Medium
31/10/2024,22/10/2024,PRJ-085,Mobile Device Encryption Contract Project,USER-025,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-063,Input Validation,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Payment gateway,Low
31/10/2024,22/10/2024,PRJ-099,Network Infrastructure Contract Project,USER-036,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-064,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4270,Database,High
02/10/2024,22/10/2024,PRJ-004,Cost Optimization Contract Project,USER-015,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-065,Authorization,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Session management,High
20/10/2024,22/10/2024,PRJ-014,Network Access Control (NAC) Contract Project,USER-077,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-066,Input Validation,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Payment gateway,Critical
02/10/2024,22/10/2024,PRJ-066,Cloud Adoption Strategy Contract Project,USER-015,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-067,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,User profile page,High
12/10/2024,22/10/2024,PRJ-091,Firewall Implementation Contract Project,USER-056,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-068,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Session management,Medium
24/10/2024,22/10/2024,PRJ-056,External Network Contract Project,USER-009,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-069,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Payment gateway,Low
23/10/2024,22/10/2024,PRJ-039,Network Traffic Encryption (TLS/SSL) Contract Project,USER-065,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-070,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Payment gateway,Critical
22/10/2024,22/10/2024,PRJ-038,Cloud Storage Encryption Contract Project,USER-071,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-071,Authorization,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Database,Critical
10/10/2024,22/10/2024,PRJ-096,Wireless Network Contract Project,USER-023,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-072,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Session management,Low
15/10/2024,22/10/2024,PRJ-037,Business Process Automation Contract Project,USER-027,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-073,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Session management,High
22/10/2024,22/10/2024,PRJ-057,Mobile First Strategy Contract Project,USER-057,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-074,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Database,Medium
08/10/2024,22/10/2024,PRJ-011,ERP Data Migration Project Contract Project,USER-037,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-075,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,User profile page,High
20/10/2024,22/10/2024,PRJ-026,Compliance (HIPAA) Contract Project,USER-019,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-076,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,User profile page,Critical
23/10/2024,22/10/2024,PRJ-099,Network Infrastructure Contract Project,USER-010,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-077,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Session management,Medium
21/10/2024,22/10/2024,PRJ-090,Wireless Network Contract Project,USER-050,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-078,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,User profile page,Medium
26/10/2024,22/10/2024,PRJ-089,Customer Behavior Analysis Contract Project,USER-001,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-079,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,User profile page,Medium
30/10/2024,22/10/2024,PRJ-090,Wireless Network Contract Project,USER-067,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-080,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Session management,Medium
31/10/2024,22/10/2024,PRJ-016,Customer Behavior Analysis Contract Project,USER-059,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-081,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Session management,High
24/10/2024,22/10/2024,PRJ-097,ERP Customization & Integration Contract Project,USER-057,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-082,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Database,Medium
21/10/2024,22/10/2024,PRJ-061,Marketing Campaign Effectiveness Contract Project,USER-058,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-083,Authorization,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Payment gateway,Critical
09/10/2024,22/10/2024,PRJ-031,Sales Performance Optimization Contract Project,USER-036,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-084,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Payment gateway,Medium
13/10/2024,22/10/2024,PRJ-043,Network Access Control (NAC) Contract Project,USER-041,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-085,Authorization,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,User profile page,Medium
11/10/2024,22/10/2024,PRJ-089,Customer Behavior Analysis Contract Project,USER-020,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-086,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Database,Critical
13/10/2024,22/10/2024,PRJ-070,Cloud Storage Encryption Contract Project,USER-060,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-087,Authentication,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,User profile page,Critical
01/10/2024,22/10/2024,PRJ-099,Network Infrastructure Contract Project,USER-075,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-088,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Database,Critical
16/10/2024,22/10/2024,PRJ-046,Distributed Denial of Service (DDoS) Protection Contract Project,USER-039,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-089,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Session management,Medium
11/10/2024,22/10/2024,PRJ-029,Operational Efficiency Improvement Contract Project,USER-035,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-090,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Login form,Critical
20/10/2024,22/10/2024,PRJ-086,E-commerce Platform Development Contract Project,USER-087,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-091,Authorization,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Database,Medium
03/10/2024,22/10/2024,PRJ-069,Infrastructure as a Service (IaaS) Contract Project,USER-004,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,APP,TC-092,XSS,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,Session management,Low
09/10/2024,22/10/2024,PRJ-083,Application Modernization Contract Project,USER-055,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,WEB,TC-093,SQL Injection,Completed,POST,/DVWA/vulnerabilities/exec/,Pass,,,,4645,User profile page,Low
